"Name","Tags","End Time","ID","State","Notes","User","Group","Job Type","Created","Updated","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","test/mse","train/mse","trainer/global_step","val/mse","epoch","lr-Adam","model.net.hidden_dim","callbacks.early_stopping._target_","callbacks.early_stopping.check_finite","callbacks.early_stopping.check_on_train_epoch_end","callbacks.early_stopping.min_delta","callbacks.early_stopping.mode","callbacks.early_stopping.monitor","callbacks.early_stopping.patience","callbacks.early_stopping.strict","callbacks.early_stopping.verbose","callbacks.learning_rate_monitor._target_","callbacks.learning_rate_monitor.logging_interval","callbacks.model_checkpoint._target_","callbacks.model_checkpoint.auto_insert_metric_name","callbacks.model_checkpoint.dirpath","callbacks.model_checkpoint.filename","callbacks.model_checkpoint.mode","callbacks.model_checkpoint.monitor","callbacks.model_checkpoint.save_last","callbacks.model_checkpoint.save_top_k","callbacks.model_checkpoint.save_weights_only","callbacks.model_checkpoint.verbose","callbacks.model_summary._target_","callbacks.model_summary.max_depth","data._target_","data.batch_size","data.data_dir","data.data_name","data.fm","data.num_workers","data.pin_memory","data.replicate","data.spectra_parameters.force_reconstruct","data.spectra_parameters.number_repeats","data.spectra_parameters.random_seed","data.spectra_parameters.sparsification_step","data.split","extras.distributed_storage","extras.enforce_tags","extras.ignore_warnings","extras.print_config","model._target_","model.criterion._target_","model.net._target_","model.net.in_dim","model.net.num_layers","model.net.out_dim","model.optimizer._partial_","model.optimizer._target_","model.optimizer.lr","model.optimizer.weight_decay","model.scheduler._partial_","model.scheduler._target_","model.scheduler.factor","model.scheduler.min_lr","model.scheduler.mode","model.scheduler.patience","model/params/non_trainable","model/params/total","model/params/trainable","tags","task_name","trainer._target_","trainer.accelerator","trainer.check_val_every_n_epoch","trainer.default_root_dir","trainer.deterministic","trainer.devices","trainer.max_epochs","trainer.min_epochs","trainer.num_sanity_val_steps"
"ruby-breeze-96","hpo, mlp, norman, replicate_0, split_0.7, uce","2024-06-05T23:17:34.000Z","4vpazl9x","finished","-","","mlp_norman_0.7","","2024-06-05T23:16:50.000Z","2024-06-05T23:17:34.000Z","44","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.09614738821983336","0.05438964068889618","3500","0.05570584535598755","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","0","true","3","[42,44,46]","0.1","0.7","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"swift-sun-95","hpo, mlp, norman, replicate_1, split_0.7, uce","2024-06-05T23:17:21.000Z","ge1n6io6","finished","-","","mlp_norman_0.7","","2024-06-05T23:16:31.000Z","2024-06-05T23:17:21.000Z","50","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.08649849146604538","0.06112273409962654","4400","0.06390562653541565","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","1","true","3","[42,44,46]","0.1","0.7","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"eager-blaze-94","hpo, mlp, norman, replicate_1, split_0.6, uce","2024-06-05T23:14:55.000Z","sbz3qawn","finished","-","","mlp_norman_0.6","","2024-06-05T23:14:29.000Z","2024-06-05T23:14:55.000Z","26","","xdg2","","","","1","NVIDIA H100 80GB HBM3","","0.06893311440944672","1921","0.06907667964696884","30","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","1","true","3","[42,44,46]","0.1","0.6","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"jolly-plasma-93","hpo, mlp, norman, replicate_0, split_0.6, uce","2024-06-05T23:15:22.000Z","rbm6df53","finished","-","","mlp_norman_0.6","","2024-06-05T23:14:27.000Z","2024-06-05T23:15:22.000Z","55","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.08094500750303268","0.06472308188676834","5900","0.0636291652917862","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","0","true","3","[42,44,46]","0.1","0.6","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"dry-spaceship-92","hpo, mlp, norman, replicate_2, split_0.7, uce","2024-06-05T23:15:15.000Z","fm9tptnm","finished","-","","mlp_norman_0.7","","2024-06-05T23:14:22.000Z","2024-06-05T23:15:15.000Z","53","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.08248931914567947","0.05906102433800697","4500","0.058931898325681686","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","2","true","3","[42,44,46]","0.1","0.7","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"dauntless-sea-91","hpo, mlp, norman, replicate_2, split_0.6, uce","2024-06-05T23:12:38.000Z","2yntjcbc","finished","-","","mlp_norman_0.6","","2024-06-05T23:11:50.000Z","2024-06-05T23:12:38.000Z","48","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.08318014442920685","0.05700352415442467","4200","0.05775924026966095","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","2","true","3","[42,44,46]","0.1","0.6","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"azure-pine-90","hpo, mlp, norman, replicate_0, split_0.5, uce","2024-06-05T23:12:30.000Z","qknb8uxr","finished","-","","mlp_norman_0.5","","2024-06-05T23:11:23.000Z","2024-06-05T23:12:30.000Z","67","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.06320397555828094","0.06283985078334808","8800","0.06170524284243584","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","0","true","3","[42,44,46]","0.1","0.5","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"smooth-wood-89","hpo, mlp, norman, replicate_1, split_0.5, uce","2024-06-05T23:12:17.000Z","2bporq3l","finished","-","","mlp_norman_0.5","","2024-06-05T23:10:54.000Z","2024-06-05T23:12:17.000Z","83","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.06666205078363419","0.06191576644778251","12100","0.0627160593867302","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","1","true","3","[42,44,46]","0.1","0.5","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"sleek-sponge-88","hpo, mlp, norman, replicate_2, split_0.5, uce","2024-06-05T23:10:10.000Z","lxl1m2pq","finished","-","","mlp_norman_0.5","","2024-06-05T23:08:48.000Z","2024-06-05T23:10:10.000Z","82","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.08233118802309036","0.06099019572138786","12500","0.06016890332102776","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","2","true","3","[42,44,46]","0.1","0.5","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"logical-sound-87","hpo, mlp, norman, replicate_0, split_0.4, uce","2024-06-05T23:08:17.000Z","2alltozw","finished","-","","mlp_norman_0.4","","2024-06-05T23:06:42.000Z","2024-06-05T23:08:17.000Z","95","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.07552120089530945","0.06382240355014801","14300","0.06319093704223633","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","0","true","3","[42,44,46]","0.1","0.4","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
"glorious-field-86","hpo, mlp, norman, replicate_1, split_0.4, uce","2024-06-05T23:07:10.000Z","kqe6xmg5","finished","-","","mlp_norman_0.4","","2024-06-05T23:05:31.000Z","2024-06-05T23:07:10.000Z","99","","xdg2","","","","1","NVIDIA H100 80GB HBM3","0.06415057927370071","0.06231318786740303","15800","0.06259142607450485","100","0.0003","256","lightning.pytorch.callbacks.EarlyStopping","true","false","0.0001","min","val/mse","50","true","false","lightning.pytorch.callbacks.LearningRateMonitor","epoch","lightning.pytorch.callbacks.ModelCheckpoint","false","${paths.output_dir}/checkpoints","best_model_at_epoch_{epoch:03d}","min","val/mse","true","1","false","false","lightning.pytorch.callbacks.RichModelSummary","-1","src.data.perturb_datamodule.PertDataModule","64","${paths.data_dir}","norman","uce","0","false","1","true","3","[42,44,46]","0.1","0.4","true","false","false","true","src.models.prediction_module.PredictionModule","torch.nn.MSELoss","src.models.components.predictors.MLP","${eval:'${emb_dim}*2'}","1","${total_genes}","true","torch.optim.Adam","0.0003","0","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","5e-9","min","15","0","1185293","1185293","[]","train","lightning.pytorch.trainer.Trainer","gpu","1","${paths.output_dir}","false","1","100","1","0"
